fy,id,perCap,fillKey
2015,PRI,3.52,1
2001,RI,9.41,1
2002,RI,20.49,1
2003,RI,10.69,1
2004,RI,13.72,1
2005,RI,25.87,2
2006,RI,14.96,1
2007,RI,19.34,1
2008,RI,6.56,1
2009,RI,14.1,1
2010,RI,85.36,4
2011,RI,24.51,1
2012,RI,63.52,3
2013,RI,4.7,1
2014,RI,2.9,1
2015,RI,10.24,1
2001,SC,31.16,2
2002,SC,13.53,1
2003,SC,18.42,1
2004,SC,17.94,1
2005,SC,16.94,1
2006,SC,11.94,1
2007,SC,40.47,2
2008,SC,15.28,1
2009,SC,7.07,1
2010,SC,40.95,2
2011,SC,12.54,1
2012,SC,32.87,2
2013,SC,4.14,1
2014,SC,2.14,1
2015,SC,6.56,1
2001,SD,67,3
2002,SD,32.24,2
2003,SD,35.61,2
2004,SD,12.22,1
2005,SD,36.42,2
2006,SD,23.08,1
2007,SD,55.28,3
2008,SD,29.24,2
2009,SD,17.34,1
2010,SD,85.11,4
2011,SD,30,2
2012,SD,9.47,1
2013,SD,15.44,1
2014,SD,6.25,1
2015,SD,9.09,1
2001,TN,15.98,1
2002,TN,10.56,1
2003,TN,11.93,1
2004,TN,24.59,1
2005,TN,13.04,1
2006,TN,17.49,1
2007,TN,23.73,1
2008,TN,8.01,1
2009,TN,12.05,1
2010,TN,102.03,5
2011,TN,7.18,1
2012,TN,20.26,1
2013,TN,3.55,1
2014,TN,6.49,1
2015,TN,9.76,1
2001,TX,18.48,1
2002,TX,11.66,1
2003,TX,11.63,1
2004,TX,11.66,1
2005,TX,19.47,1
2006,TX,8.3,1
2007,TX,18.98,1
2008,TX,9.2,1
2009,TX,6.66,1
2010,TX,24.78,1
2011,TX,27.93,2
2012,TX,16.21,1
2013,TX,2.82,1
2014,TX,3.62,1
2015,TX,3.17,1
2001,UT,32.35,2
2002,UT,30.84,2
2003,UT,16.66,1
2004,UT,14.7,1
2005,UT,27.85,2
2006,UT,13.04,1
2007,UT,12.07,1
2008,UT,16.75,1
2009,UT,4.82,1
2010,UT,23.81,1
2011,UT,12.99,1
2012,UT,10.35,1
2013,UT,19.59,1
2014,UT,3.8,1
2015,UT,3.38,1
2001,VA,9.51,1
2002,VA,14.11,1
2003,VA,12.56,1
2004,VA,17.52,1
